time,open,high,low,close,,,,,Equity,Trade PnL %,PineConnector,Bullish Entry,Bearish Entry
1702785600,0.61824,0.61991,0.61293,0.61298,0.5911095000000001,0.6500657499999999,NaN,NaN,2224594.454135266,NaN,0,0,0
1702800000,0.61294,0.62273,0.61211,0.61946,0.5911095000000001,0.6500657499999999,NaN,NaN,2231554.813165666,NaN,0,0,0
1702814400,0.61944,0.61947,0.61247,0.61797,0.5911095000000001,0.6500657499999999,NaN,NaN,2229954.360240466,NaN,0,0,0
1702828800,0.61725,0.62136,0.6161,0.61822,0.5911095000000001,0.6500657499999999,NaN,NaN,2230222.892610466,NaN,0,0,0
1702843200,0.61826,0.61887,0.60821,0.61001,0.5911095000000001,0.6500657499999999,NaN,NaN,2221404.289579666,NaN,0,0,0
1702857600,0.60976,0.61282,0.6011,0.60552,0.5911095000000001,0.6500657499999999,NaN,NaN,2216581.448214466,NaN,0,0,0
1702872000,0.60576,0.60881,0.60037,0.6009,0.5911095000000001,0.6500657499999999,NaN,NaN,2211618.970016866,NaN,0,0,0
1702886400,0.60084,0.60167,0.57814,0.58888,NaN,NaN,NaN,NaN,2200657.421246497,-1.157151279496441,0.5,0,0
1702900800,0.58866,0.6,0.5863,0.59613,NaN,NaN,NaN,NaN,2200657.421246497,NaN,0,0,0
1702915200,0.59623,0.60643,0.5943,0.60514,NaN,NaN,NaN,NaN,2200657.421246497,NaN,0,0,0
1702929600,0.60535,0.61431,0.60353,0.61229,0.5763205,0.64857925,NaN,NaN,2206626.566463697,NaN,110000000.5763205,1,0
1702944000,0.6123,0.61633,0.6087,0.6121,0.5763205,0.64857925,NaN,NaN,2206463.146061497,NaN,0,0,0
1702958400,0.61195,0.61381,0.60935,0.61086,0.5763205,0.64857925,NaN,NaN,2205396.612910297,NaN,0,0,0
1702972800,0.61105,0.61218,0.60693,0.60821,0.5763205,0.64857925,NaN,NaN,2203117.328353297,NaN,0,0,0
1702987200,0.60821,0.61086,0.60221,0.60519,0.5763205,0.64857925,NaN,NaN,2200519.804065697,NaN,0,0,0
1703001600,0.6052,0.60725,0.59737,0.60477,0.5763205,0.64857925,NaN,NaN,2200158.558966097,NaN,0,0,0
1703016000,0.60466,0.60752,0.6029,0.60506,0.5763205,0.64857925,NaN,NaN,2200407.9901062967,NaN,0,0,0
1703030400,0.60434,0.60875,0.60175,0.60825,0.5763205,0.64857925,NaN,NaN,2203151.732648497,NaN,0,0,0
1703044800,0.60849,0.61151,0.60668,0.60941,0.5763205,0.64857925,NaN,NaN,2204149.457209297,NaN,0,0,0
1703059200,0.60941,0.614,0.60839,0.611,0.5763205,0.64857925,NaN,NaN,2205517.027943497,NaN,0,0,0
1703073600,0.61111,0.625,0.61026,0.62156,0.5763205,0.64857925,NaN,NaN,2214599.7618762967,NaN,0,0,0
1703088000,0.62167,0.62634,0.61748,0.6214,0.5763205,0.64857925,NaN,NaN,2214462.1446954967,NaN,0,0,0
1703102400,0.62159,0.62159,0.60708,0.6172,0.5763205,0.64857925,NaN,NaN,2210849.693699497,NaN,0,0,0
1703116800,0.6166,0.61661,0.61114,0.61446,0.5763205,0.64857925,NaN,NaN,2208492.999478297,NaN,0,0,0
1703131200,0.61455,0.61709,0.61172,0.61659,0.5763205,0.64857925,NaN,NaN,2210325.028197697,NaN,0,0,0
1703145600,0.61654,0.621,0.6136,0.61806,0.5763205,0.64857925,NaN,NaN,2211589.386046297,NaN,0,0,0
1703160000,0.61882,0.621,0.61024,0.61527,0.5763205,0.64857925,NaN,NaN,2209189.686456097,NaN,0,0,0
1703174400,0.61528,0.619,0.61339,0.61884,0.5763205,0.64857925,NaN,NaN,2212260.269802697,NaN,0,0,0
1703188800,0.61887,0.62478,0.61873,0.62412,0.5763205,0.64857925,NaN,NaN,2216801.636769097,NaN,0,0,0
1703203200,0.62421,0.62658,0.61836,0.61999,0.5763205,0.64857925,NaN,NaN,2213249.393289697,NaN,0,0,0
1703217600,0.61999,0.62317,0.61633,0.61849,0.5763205,0.64857925,NaN,NaN,2211959.232219697,NaN,0,0,0
1703232000,0.6188,0.63099,0.61732,0.62153,0.5763205,0.64857925,NaN,NaN,2214573.958654897,NaN,0,0,0
1703246400,0.62161,0.62197,0.61582,0.62003,0.5763205,0.64857925,NaN,NaN,2213283.797584897,NaN,0,0,0
1703260800,0.61987,0.62167,0.61573,0.61795,0.5763205,0.64857925,NaN,NaN,2211494.774234497,NaN,0,0,0
1703275200,0.61796,0.6256,0.61796,0.62523,0.5763205,0.64857925,NaN,NaN,2217756.3559608967,NaN,0,0,0
1703289600,0.62525,0.62527,0.61334,0.61451,0.5763205,0.64857925,NaN,NaN,2208536.004847297,NaN,0,0,0
1703304000,0.61451,0.6171,0.6115,0.61556,0.5763205,0.64857925,NaN,NaN,2209439.117596297,NaN,0,0,0
1703318400,0.61559,0.61764,0.61403,0.61563,0.5763205,0.64857925,NaN,NaN,2209499.325112897,NaN,0,0,0
1703332800,0.61564,0.61983,0.61545,0.61852,0.5763205,0.64857925,NaN,NaN,2211985.035441097,NaN,0,0,0
1703347200,0.61851,0.62108,0.61806,0.61865,0.5763205,0.64857925,NaN,NaN,2212096.849400497,NaN,0,0,0
1703361600,0.61868,0.62033,0.61697,0.61966,0.5763205,0.64857925,NaN,NaN,2212965.557854297,NaN,0,0,0
1703376000,0.61966,0.6225,0.61679,0.62062,0.5763205,0.64857925,NaN,NaN,2213791.260939097,NaN,0,0,0
1703390400,0.62062,0.623,0.60914,0.6167,0.5763205,0.64857925,NaN,NaN,2210419.640009497,NaN,0,0,0
1703404800,0.61664,0.62141,0.61346,0.61863,0.5763205,0.64857925,NaN,NaN,2212079.647252897,NaN,0,0,0
1703419200,0.61882,0.624,0.61743,0.62196,0.5763205,0.64857925,NaN,NaN,2214943.804828297,NaN,0,0,0
1703433600,0.6219,0.62378,0.6202,0.62373,0.5763205,0.64857925,NaN,NaN,2216466.194890897,NaN,0,0,0
1703448000,0.62373,0.63146,0.60554,0.61245,0.5763205,0.64857925,NaN,NaN,2206764.183644497,NaN,0,0,0
1703462400,0.61288,0.61862,0.60908,0.61679,0.5763205,0.64857925,NaN,NaN,2210497.049673697,NaN,0,0,0
1703476800,0.61679,0.61721,0.61564,0.61629,0.5763205,0.64857925,NaN,NaN,2210066.995983697,NaN,0,0,0
1703491200,0.61641,0.64839,0.61626,0.642,0.5763205,0.64857925,NaN,NaN,2232180.3567234967,NaN,0,0,0
1703505600,0.64208,0.6466,0.6318,0.63318,0.5763205,0.64857925,NaN,NaN,2224594.209631897,NaN,0,0,0
1703520000,0.63348,0.63862,0.63157,0.63786,0.5763205,0.64857925,NaN,NaN,2228619.512170297,NaN,0,0,0
1703534400,0.63778,0.64699,0.63548,0.64624,0.5763205,0.64857925,NaN,NaN,2235827.212014697,NaN,0,0,0
1703548800,0.64624,0.6468,0.63328,0.63849,0.5763205,0.64857925,NaN,NaN,2229161.379819697,NaN,0,0,0
1703563200,0.63864,0.63864,0.61501,0.62101,0.5763205,0.64857925,NaN,NaN,2214126.702817297,NaN,0,0,0
1703577600,0.62115,0.62511,0.61516,0.62411,0.5763205,0.64857925,NaN,NaN,2216793.035695297,NaN,0,0,0
1703592000,0.62403,0.63137,0.61836,0.62018,0.5763205,0.64857925,NaN,NaN,2213412.813691897,NaN,0,0,0
1703606400,0.61979,0.62753,0.59541,0.61617,0.5763205,0.64857925,NaN,NaN,2209963.783098097,NaN,0,0,0
1703620800,0.61603,0.62247,0.61573,0.62238,0.5763205,0.64857925,NaN,NaN,2215305.049927897,NaN,0,0,0
1703635200,0.62237,0.62237,0.6131,0.61672,0.5763205,0.64857925,NaN,NaN,2210436.842157097,NaN,0,0,0
1703649600,0.61674,0.62357,0.61674,0.6197,0.5763205,0.64857925,NaN,NaN,2212999.962149497,NaN,0,0,0
1703664000,0.61953,0.63122,0.61887,0.62724,0.5763205,0.64857925,NaN,NaN,2219485.1717946967,NaN,0,0,0
1703678400,0.62738,0.63416,0.62606,0.63325,0.5763205,0.64857925,NaN,NaN,2224654.417148497,NaN,0,0,0
